name,circuit_name,year,time
Abu Dhabi Grand Prix,Yas Marina Circuit,2009,103623.0887804878
Abu Dhabi Grand Prix,Yas Marina Circuit,2010,110506.40690817186
Abu Dhabi Grand Prix,Yas Marina Circuit,2011,108615.13651877134
Abu Dhabi Grand Prix,Yas Marina Circuit,2012,116403.74515235458
Abu Dhabi Grand Prix,Yas Marina Circuit,2013,108937.90917030568
Abu Dhabi Grand Prix,Yas Marina Circuit,2014,109714.9861660079
Abu Dhabi Grand Prix,Yas Marina Circuit,2015,109684.11519845111
Abu Dhabi Grand Prix,Yas Marina Circuit,2016,108479.96230158731
Abu Dhabi Grand Prix,Yas Marina Circuit,2017,104873.02521823472
Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,1996,98446.64605734767
Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,1997,95692.04253308129
Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,1998,92765.50349107836
Australian Grand Prix,Albert Park Grand Prix Circuit,1996,99021.05049261084
Australian Grand Prix,Albert Park Grand Prix Circuit,1997,96326.91902313624
Australian Grand Prix,Albert Park Grand Prix Circuit,1998,97903.0701262272
Australian Grand Prix,Albert Park Grand Prix Circuit,1999,102112.6608108108
Australian Grand Prix,Albert Park Grand Prix Circuit,2000,99751.7056778679
Australian Grand Prix,Albert Park Grand Prix Circuit,2001,104914.22891566265
Australian Grand Prix,Albert Park Grand Prix Circuit,2002,107321.21708185054
Australian Grand Prix,Albert Park Grand Prix Circuit,2003,99997.81688466112
Australian Grand Prix,Albert Park Grand Prix Circuit,2004,90808.45714285714
Australian Grand Prix,Albert Park Grand Prix Circuit,2005,90332.47253787878
Australian Grand Prix,Albert Park Grand Prix Circuit,2006,101650.96170678338
Australian Grand Prix,Albert Park Grand Prix Circuit,2007,90397.86964129483
Australian Grand Prix,Albert Park Grand Prix Circuit,2008,98557.18230563002
Australian Grand Prix,Albert Park Grand Prix Circuit,2009,97427.74527363184
Australian Grand Prix,Albert Park Grand Prix Circuit,2010,101076.80957562568
Australian Grand Prix,Albert Park Grand Prix Circuit,2011,95618.77377654663
Australian Grand Prix,Albert Park Grand Prix Circuit,2012,98469.92911877394
Australian Grand Prix,Albert Park Grand Prix Circuit,2013,94959.43505338079
Australian Grand Prix,Albert Park Grand Prix Circuit,2014,100366.24498416051
Australian Grand Prix,Albert Park Grand Prix Circuit,2015,97062.15504978663
Australian Grand Prix,Albert Park Grand Prix Circuit,2016,115614.2831858407
Australian Grand Prix,Albert Park Grand Prix Circuit,2017,91105.88853503185
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,93258.0576307364
Austrian Grand Prix,A1-Ring,1997,74986.25333333333
Austrian Grand Prix,A1-Ring,1998,78521.02708124374
Austrian Grand Prix,A1-Ring,1999,76098.6197511664
Austrian Grand Prix,A1-Ring,2000,76906.97966728281
Austrian Grand Prix,A1-Ring,2001,76860.57628765792
Austrian Grand Prix,A1-Ring,2002,80723.66886792453
Austrian Grand Prix,A1-Ring,2003,74695.39869888476
Austrian Grand Prix,Red Bull Ring,2014,75599.87749483826
Austrian Grand Prix,Red Bull Ring,2015,78207.28342749529
Austrian Grand Prix,Red Bull Ring,2016,74946.18290960453
Austrian Grand Prix,Red Bull Ring,2017,70445.01169590643
Austrian Grand Prix,Red Bull Ring,2018,70745.09523809524
Azerbaijan Grand Prix,Baku City Circuit,2017,149324.75
Azerbaijan Grand Prix,Baku City Circuit,2018,121717.24019024971
Bahrain Grand Prix,Bahrain International Circuit,2004,95387.92322274881
Bahrain Grand Prix,Bahrain International Circuit,2005,96346.62232779097
Bahrain Grand Prix,Bahrain International Circuit,2006,97186.3390909091
Bahrain Grand Prix,Bahrain International Circuit,2007,100550.41586073501
Bahrain Grand Prix,Bahrain International Circuit,2008,97601.39982347749
Bahrain Grand Prix,Bahrain International Circuit,2009,97834.82488888889
Bahrain Grand Prix,Bahrain International Circuit,2010,123994.8826754386
Bahrain Grand Prix,Bahrain International Circuit,2012,101989.5539177657
Bahrain Grand Prix,Bahrain International Circuit,2013,102525.87147595357
Bahrain Grand Prix,Bahrain International Circuit,2014,105863.46540880503
Bahrain Grand Prix,Bahrain International Circuit,2015,102143.04612365064
Bahrain Grand Prix,Bahrain International Circuit,2016,100449.44710578842
Bahrain Grand Prix,Bahrain International Circuit,2017,100056.30734463276
Bahrain Grand Prix,Bahrain International Circuit,2018,98676.89769307924
Belgian Grand Prix,Circuit de Spa-Francorchamps,1996,122689.93333333333
Belgian Grand Prix,Circuit de Spa-Francorchamps,1997,132219.6422250316
Belgian Grand Prix,Circuit de Spa-Francorchamps,1998,145076.64239828693
Belgian Grand Prix,Circuit de Spa-Francorchamps,1999,119180.42991755006
Belgian Grand Prix,Circuit de Spa-Francorchamps,2000,123424.7850241546
Belgian Grand Prix,Circuit de Spa-Francorchamps,2001,116570.86470588236
Belgian Grand Prix,Circuit de Spa-Francorchamps,2002,112631.64256480218
Belgian Grand Prix,Circuit de Spa-Francorchamps,2004,126997.63295269168
Belgian Grand Prix,Circuit de Spa-Francorchamps,2005,126147.69726027397
Belgian Grand Prix,Circuit de Spa-Francorchamps,2007,112448.35058823529
Belgian Grand Prix,Circuit de Spa-Francorchamps,2008,114505.9312039312
Belgian Grand Prix,Circuit de Spa-Francorchamps,2009,115552.62745098039
Belgian Grand Prix,Circuit de Spa-Francorchamps,2010,122916.42608695652
Belgian Grand Prix,Circuit de Spa-Francorchamps,2011,120528.80518018018
Belgian Grand Prix,Circuit de Spa-Francorchamps,2012,124004.40853658537
Belgian Grand Prix,Circuit de Spa-Francorchamps,2013,116210.28764044945
Belgian Grand Prix,Circuit de Spa-Francorchamps,2014,117314.94172494173
Belgian Grand Prix,Circuit de Spa-Francorchamps,2015,119295.94565217392
Belgian Grand Prix,Circuit de Spa-Francorchamps,2016,144289.09391534392
Belgian Grand Prix,Circuit de Spa-Francorchamps,2017,116336.5435897436
Belgian Grand Prix,Circuit de Spa-Francorchamps,2018,116911.71594202898
Brazilian Grand Prix,Autódromo José Carlos Pace,1996,96868.48638838476
Brazilian Grand Prix,Autódromo José Carlos Pace,1997,81519.0484937546
Brazilian Grand Prix,Autódromo José Carlos Pace,1998,82933.06794425087
Brazilian Grand Prix,Autódromo José Carlos Pace,1999,82739.11575875487
Brazilian Grand Prix,Autódromo José Carlos Pace,2000,78847.16016427104
Brazilian Grand Prix,Autódromo José Carlos Pace,2001,85571.18498659518
Brazilian Grand Prix,Autódromo José Carlos Pace,2002,80097.68421052632
Brazilian Grand Prix,Autódromo José Carlos Pace,2003,104839.91377091377
Brazilian Grand Prix,Autódromo José Carlos Pace,2004,76011.63311688312
Brazilian Grand Prix,Autódromo José Carlos Pace,2005,78639.2065767285
Brazilian Grand Prix,Autódromo José Carlos Pace,2006,79271.36274509804
Brazilian Grand Prix,Autódromo José Carlos Pace,2007,76832.6023890785
Brazilian Grand Prix,Autódromo José Carlos Pace,2008,80924.80726698262
Brazilian Grand Prix,Autódromo José Carlos Pace,2009,79104.38504672897
Brazilian Grand Prix,Autódromo José Carlos Pace,2010,80874.46027895695
Brazilian Grand Prix,Autódromo José Carlos Pace,2011,79987.84020618557
Brazilian Grand Prix,Autódromo José Carlos Pace,2012,89864.10537634409
Brazilian Grand Prix,Autódromo José Carlos Pace,2013,79551.76058292852
Brazilian Grand Prix,Autódromo José Carlos Pace,2014,77145.1121039805
Brazilian Grand Prix,Autódromo José Carlos Pace,2015,78785.46194423511
Brazilian Grand Prix,Autódromo José Carlos Pace,2016,153655.55417956656
Brazilian Grand Prix,Autódromo José Carlos Pace,2017,78541.67694944302
British Grand Prix,Silverstone Circuit,1996,93658.72517321016
British Grand Prix,Silverstone Circuit,1997,91178.6669921875
British Grand Prix,Silverstone Circuit,1998,108235.0385818561
British Grand Prix,Silverstone Circuit,1999,94030.67260787993
British Grand Prix,Silverstone Circuit,2000,90448.9255774166
British Grand Prix,Silverstone Circuit,2001,88000.1361788618
British Grand Prix,Silverstone Circuit,2002,94557.16052060737
British Grand Prix,Silverstone Circuit,2003,90055.14385964912
British Grand Prix,Silverstone Circuit,2004,85765.57287822878
British Grand Prix,Silverstone Circuit,2005,86659.92850838482
British Grand Prix,Silverstone Circuit,2006,87877.31441860466
British Grand Prix,Silverstone Circuit,2007,85536.03333333334
British Grand Prix,Silverstone Circuit,2008,100905.51908396947
British Grand Prix,Silverstone Circuit,2009,84317.45811518324
British Grand Prix,Silverstone Circuit,2010,99351.35216240071
British Grand Prix,Silverstone Circuit,2011,104956.72372093023
British Grand Prix,Silverstone Circuit,2012,99808.07019143118
British Grand Prix,Silverstone Circuit,2013,107805.83588818756
British Grand Prix,Silverstone Circuit,2014,180681.68260869564
British Grand Prix,Silverstone Circuit,2015,108001.61165048544
British Grand Prix,Silverstone Circuit,2016,113489.77319587629
British Grand Prix,Silverstone Circuit,2017,97780.81439820022
British Grand Prix,Silverstone Circuit,2018,101208.1258351893
Canadian Grand Prix,Circuit Gilles Villeneuve,1996,85562.10978260869
Canadian Grand Prix,Circuit Gilles Villeneuve,1997,87191.92462311558
Canadian Grand Prix,Circuit Gilles Villeneuve,1998,91242.9222972973
Canadian Grand Prix,Circuit Gilles Villeneuve,1999,89516.00835945664
Canadian Grand Prix,Circuit Gilles Villeneuve,2000,88222.34752321981
Canadian Grand Prix,Circuit Gilles Villeneuve,2001,84126.5329153605
Canadian Grand Prix,Circuit Gilles Villeneuve,2002,81926.65278868814
Canadian Grand Prix,Circuit Gilles Villeneuve,2003,80029.38734419942
Canadian Grand Prix,Circuit Gilles Villeneuve,2004,77728.34835355286
Canadian Grand Prix,Circuit Gilles Villeneuve,2005,81664.07834507042
